alternate_positions,avatar_url,common_name,first_name,id,last_name,league_name,nationality_image_url,nationality_label,overall_rating,player_abilities_images,player_abilities_labels,position_short_label,preferred_foot,shield_url,skill_moves,stat_acceleration,stat_aggression,stat_agility,stat_balance,stat_ballControl,stat_composure,stat_crossing,stat_curve,stat_def,stat_defensiveAwareness,stat_dri,stat_dribbling,stat_finishing,stat_freeKickAccuracy,stat_gkDiving,stat_gkHandling,stat_gkKicking,stat_gkPositioning,stat_gkReflexes,stat_headingAccuracy,stat_interceptions,stat_jumping,stat_longPassing,stat_longShots,stat_pac,stat_pas,stat_penalties,stat_phy,stat_positioning,stat_reactions,stat_sho,stat_shortPassing,stat_shotPower,stat_slidingTackle,stat_sprintSpeed,stat_stamina,stat_standingTackle,stat_strength,stat_vision,stat_volleys,team_image_url,team_label,weak_foot
CM|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p239175.webp,,Julius,239175,Eskesen,Scottish Prem,https://drop-assets.ea.com/images/6ueYG8kGNCY97fHWQ6LIZ7/9ad4b50beeb1d0d2a5d2bb5a8891336f/f_13.png,Denmark,67,https://drop-assets.ea.com/images/1razu2wcM3XA82VvB7NyUm/eec6b07080e49d6bf2d7a7951a22375f/Dead_Ball.png|https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png|https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png,Dead Ball|Intercept|Aerial Fortress,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239175_en.webp,3,74,54,82,82,67,59,64,59,60,63,69,67,61,55,14,6,8,6,10,32,62,56,64,60,67,64,45,65,68,66,59,64,60,58,62,82,65,62,69,42,https://drop-assets.ea.com/images/59iEXPE6OzSfUHmdRpJVnK/3e05bd9ad4905eae8baf31e4c097724a/l181.png,Dundee United,3
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p240863.webp,,Conor,240863,Coventry,EFL Championship,https://drop-assets.ea.com/images/3kYEdtacSx6YJO1G3LJIGw/72d622eb085aecaa6ecfa86c30bc3015/f_25.png,Republic of Ireland,67,,,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/240863_en.webp,2,68,68,76,76,66,66,64,66,63,64,66,63,47,63,11,9,13,12,7,58,63,68,66,59,66,66,61,70,56,65,53,68,60,62,65,81,64,66,65,44,https://drop-assets.ea.com/images/nmdGMjwOVwYQdxS4jHNQS/2842b6831792855efe388bad0ca94640/l89.png,Charlton Ath,3
CAM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p243283.webp,,Magnus,243283,Westergaard,EFL League One,https://drop-assets.ea.com/images/6ueYG8kGNCY97fHWQ6LIZ7/9ad4b50beeb1d0d2a5d2bb5a8891336f/f_13.png,Denmark,67,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243283_en.webp,2,67,59,62,66,72,60,49,49,60,58,66,64,58,41,15,7,14,15,11,61,61,73,66,51,71,62,45,69,68,66,56,70,58,58,74,74,62,71,64,47,https://drop-assets.ea.com/images/2n0OJt5rodbleQw7Qv6RZ8/a29bf0cb08a86484d328a2f17ff7018d/l1933.png,Wycombe,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p243527.webp,,Fabrizio,243527,Caligara,Serie BKT,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,Italy,67,https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png,Anticipate,CM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243527_en.webp,2,61,66,76,74,70,67,54,58,65,64,68,65,52,65,6,10,12,10,10,60,66,66,64,63,61,65,45,67,62,68,58,72,68,63,61,76,66,63,66,61,https://drop-assets.ea.com/images/137rvTiORsZ9VYIhGcyuCB/04d952095ce0e8a7b966f10d88e01fc5/l200.png,Pescara,2
RM|RB|LB,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p244087.webp,,Romario,244087,Rösch,Bundesliga 2,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,67,,,LM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/244087_en.webp,3,79,52,74,76,69,57,60,48,56,57,69,70,58,37,13,10,15,11,11,47,60,65,51,55,80,58,52,64,56,63,57,65,61,46,81,82,57,60,59,49,https://drop-assets.ea.com/images/1Jpul9d3tAZClDoAdJ6MRw/d787dfe9032f73ea01a355956dd55a64/l160.png,VfL Bochum 1848,4
LB|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p245414.webp,,Radhi,245414,Al Otaibi,ROSHN Saudi League,https://drop-assets.ea.com/images/5z1KkeGbKQO9YFi6rdpu1i/e22181e422e56b017fe7e84bfcf088c6/f_183.png,Saudi Arabia,67,https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png,Intercept,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/245414_en.webp,2,89,50,75,79,68,50,59,45,57,56,65,61,42,40,6,10,13,9,11,47,54,71,62,45,88,61,42,68,58,59,45,68,49,61,87,85,62,66,57,38,https://drop-assets.ea.com/images/4iiu5yKgXLP6VztXNaebb1/19909c746281492a1191662354871832/l112096.png,Al Ettifaq,3
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p253810.webp,,Rafael,253810,Guarderas,Sudamericana,https://drop-assets.ea.com/images/ozuqUGnYf4veYiw28msYj/f06778b0672274204bf56b6091d73c1b/f_59.png,Peru,67,,,CDM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/253810_en.webp,2,67,64,64,67,67,63,59,65,66,69,66,66,55,52,6,14,8,7,15,62,69,69,64,59,66,62,53,66,62,67,58,66,63,63,66,70,64,65,59,55,https://drop-assets.ea.com/images/2SSW6VjqVgfUDgg7FzHdGA/379f0383ea4d379bb8cb741e3edd9545/l114598.png,Atlético Grau,3
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p259797.webp,,Adalid,259797,Terrazas,Libertadores,https://drop-assets.ea.com/images/sBWHKDX8EAzK6chmwqwyD/e363357cfcd27c30710fcd9aa2c9d8ac/f_53.png,Bolivia,67,https://drop-assets.ea.com/images/1razu2wcM3XA82VvB7NyUm/eec6b07080e49d6bf2d7a7951a22375f/Dead_Ball.png,Dead Ball,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/259797_en.webp,3,61,63,59,64,65,65,51,42,60,55,65,67,66,60,18,18,15,11,12,53,65,66,69,70,60,65,47,70,65,62,64,70,65,55,59,73,65,71,72,43,https://drop-assets.ea.com/images/4NcWWmeytw6BV7RsWtzH44/10859a1e515ee865f483c2d022391aad/l131795.png,San Antonio,3
RM|LW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p263761.webp,,Victor,263761,Lind,Allsvenskan,https://drop-assets.ea.com/images/6ueYG8kGNCY97fHWQ6LIZ7/9ad4b50beeb1d0d2a5d2bb5a8891336f/f_13.png,Denmark,67,https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png,Power Shot,LM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/263761_en.webp,3,83,59,76,72,67,62,60,54,42,43,67,65,66,64,8,10,10,7,14,52,45,72,54,67,83,60,60,66,66,60,66,60,71,29,83,76,41,64,63,52,https://drop-assets.ea.com/images/4bvnLjarwey9TCVZOEqUm3/f3cd5d9ceb327ee5479234b37b3f3d15/l111705.png,Brommapojkarna,3
CDM|CAM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p265789.webp,,Charlie,265789,Savage,EFL League One,https://drop-assets.ea.com/images/5LJDvJK0VmUTnM1w0LQTX5/44ffb962bf8c0f13b162675e5cd31f49/f_50.png,Wales,67,https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png,Press Proven,CM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/265789_en.webp,3,58,83,57,55,66,65,66,72,63,65,63,63,63,66,8,7,15,9,11,56,61,60,69,67,56,66,56,72,63,63,64,65,67,66,54,90,64,59,65,60,https://drop-assets.ea.com/images/7z6eAzQJfM3BN5sWGAC1Av/8ab8867095f16213018d48ff48746b02/l1793.png,Reading,3
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p269155.webp,Matheus Índio,Matheus,269155,Salgueiro Pains,CSL,https://drop-assets.ea.com/images/1zdNn1R9tRlfQ3lsbAOecD/a606f742789b6306363383a6e20dd003/f_54.png,Brazil,67,,,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/269155_en.webp,2,72,71,77,74,67,54,49,43,63,62,65,62,50,47,10,6,8,5,13,52,63,71,62,44,74,57,43,76,37,63,49,65,60,65,76,81,67,75,53,34,https://drop-assets.ea.com/images/6mlVjdbMZtcXb0iKBo4FRV/37d77a83195cd206a7b844128fe48a4b/l131488.png,Qingdao W. Coast,2
LB|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p272699.webp,,Juan Camilo,272699,Pérez,Libertadores,https://drop-assets.ea.com/images/1KXj3pySTA9J9K8w7167Qm/5b02c072a8dfb553cf7953a209998b03/f_61.png,Venezuela,67,,,CM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/272699_en.webp,3,67,55,65,73,66,60,61,60,58,55,68,71,68,65,9,10,12,14,6,55,48,62,70,66,69,67,62,58,65,65,64,72,57,65,70,66,66,55,66,58,https://drop-assets.ea.com/images/3bR8gh5HyqVhLgaYsczMjS/36d7eef07df9db3a06d46e262dc934b0/l110991.png,Carabobo FC,4
RM|LB,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p226167.webp,,Jannik,226167,Dehm,Bundesliga 2,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,67,https://drop-assets.ea.com/images/51OlohNQvoEwW0aLhknAHh/58fa7d903d10f6d8cfa2622f62ba6b6f/Long_Throw.png,Long Throw,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/226167_en.webp,3,85,71,76,74,68,50,66,65,60,61,66,64,43,60,16,14,6,8,7,46,64,69,56,55,80,60,35,68,45,65,49,64,62,61,75,73,62,64,51,38,https://drop-assets.ea.com/images/4W0novqbVToBCyguXyY0mJ/f987173c5a37354bd322196e35384689/l165.png,Fürth,4
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p226686.webp,,Max,226686,Christiansen,3. Liga,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,67,,,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/226686_en.webp,2,58,75,62,64,64,62,57,60,66,66,64,64,45,49,15,7,11,14,9,65,67,71,58,50,71,60,48,72,53,65,50,64,64,63,81,71,67,71,62,39,https://drop-assets.ea.com/images/2fvTTdw72eQBkLp4aPTas1/2de9e73c5ec1adc4cfdebd8f49a609b5/l33.png,1860 München,2
CM|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p231301.webp,,Erwin,231301,Saavedra,Libertadores,https://drop-assets.ea.com/images/sBWHKDX8EAzK6chmwqwyD/e363357cfcd27c30710fcd9aa2c9d8ac/f_53.png,Bolivia,67,https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,Rapid,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231301_en.webp,3,75,55,69,78,66,61,64,60,61,60,65,64,62,73,6,12,6,13,6,49,61,50,60,74,73,65,60,55,66,59,64,67,65,64,71,86,64,40,64,42,https://drop-assets.ea.com/images/51te28lp7LQwtpaTzmrHj7/69b77f11674524f1bc51384e85cce298/l110968.png,Bolívar,3
CM|ST,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p232000.webp,Lee Seung Woo,Seung Woo,232000,Lee,K League 1,https://drop-assets.ea.com/images/1dVkB8X9Wb0vnMLflqc8EP/c44c481c48f80fa33f1056628596b957/f_167.png,Korea Republic,67,https://drop-assets.ea.com/images/2sRRBHcIe0zrDwYaRI2xG3/d02b8c8855de853470897009e030eb5d/Acrobatic.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/2tvHC5JQ2sXrN8wUTJWLEA/94b0f6a78d1a9e1348a33c9772f23afd/Tiki_Taka.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,Acrobatic|Gamechanger|Tiki Taka|Technical,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/232000_en.webp,4,81,71,82,81,68,70,60,69,41,34,70,67,64,67,9,12,14,11,10,38,52,62,57,60,80,63,65,64,68,69,65,64,69,41,79,65,43,61,68,67,https://drop-assets.ea.com/images/6IFYQ6ZaqQ2I9oIzFaouTx/1a1acfce338af628fcb049aa4514a260/l1477.png,Jeonbuk Hyundai,3
RM|RW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p238660.webp,,Nazim,238660,Sangaré,Trendyol Süper Lig,https://drop-assets.ea.com/images/501PnaP87pzjR8dKEQ20OT/7f0fd5c896b732a094222cbf0560b4c2/f_48.png,Turkey,67,https://drop-assets.ea.com/images/51OlohNQvoEwW0aLhknAHh/58fa7d903d10f6d8cfa2622f62ba6b6f/Long_Throw.png,Long Throw,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/238660_en.webp,2,82,64,82,64,64,66,64,69,63,65,67,67,40,31,6,14,15,9,10,53,66,73,62,45,80,59,39,67,65,61,47,62,64,63,79,66,63,68,53,42,https://drop-assets.ea.com/images/34vBMcAafsImubAt41dcR9/7a87c863ba62c27b426c051623d97d8e/l110776.png,Gaziantep,2
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p238922.webp,,Mark-Anthony,238922,Kaye,MLS,https://drop-assets.ea.com/images/6NVjftdldQXhdzrkDQccXB/0bbb62e54641cc2fc4c5e9f347319859/f_70.png,Canada,67,https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,Jockey|Technical,CDM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/238922_en.webp,3,68,67,52,47,63,61,52,56,66,65,61,63,52,37,14,10,9,6,6,68,64,73,64,49,70,61,46,72,65,64,53,69,60,66,72,80,67,70,63,44,https://drop-assets.ea.com/images/24K6PFhSK3sFDydoFSN794/48139889372bb3d6db2fd41a924c5431/l111928.png,SJ Earthquakes,1
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p254347.webp,,Alfredo,254347,Ramúa,Sudamericana,https://drop-assets.ea.com/images/4xMXjEt7CFJ6JENYeG45Sk/836d733dc1642c5e4ab3338d91481436/f_52.png,Argentina,67,https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,Technical,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/254347_en.webp,3,73,48,82,73,67,69,62,57,37,45,69,69,67,75,12,8,13,9,13,62,40,79,61,62,74,66,70,71,65,60,66,70,70,18,74,75,26,77,67,58,https://drop-assets.ea.com/images/1B0HB64pmGrZDMkFHdR8B8/3efdc345390cc65dfb225cae8f3779de/l111011.png,Cienciano,4
CDM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p258679.webp,,David,258679,Kruse,Allsvenskan,https://drop-assets.ea.com/images/6ueYG8kGNCY97fHWQ6LIZ7/9ad4b50beeb1d0d2a5d2bb5a8891336f/f_13.png,Denmark,67,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/258679_en.webp,2,62,59,66,64,64,63,62,62,63,59,64,63,64,60,12,6,14,6,12,58,67,67,67,64,58,65,49,71,64,67,62,67,62,59,55,82,66,70,65,44,https://drop-assets.ea.com/images/5QWuNo8IqfyvCSoMcLs0vG/2f026ba3ee0883a9f32f4d2d3c0351da/l319.png,IFK Göteborg,3
LM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p260186.webp,,Lucas,260186,Brumme,3. Liga,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,67,https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png,Long Ball Pass,LB,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/260186_en.webp,2,71,66,63,62,65,65,64,52,62,62,65,66,59,42,13,15,13,7,13,51,63,67,60,55,70,60,49,69,63,65,57,63,59,62,70,76,66,67,58,47,https://drop-assets.ea.com/images/4oDtlTOSwniQYuMypK4x4V/d8f8b98515d083f9ae5e12837516a108/l526.png,Rot-Weiss Essen,3
CAM|CDM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p262936.webp,,Soufiane,262936,El-Faouzi,Bundesliga 2,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,67,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/262936_en.webp,3,63,49,82,72,73,63,45,50,61,65,74,75,63,47,6,12,9,11,9,41,66,52,62,57,65,60,50,64,61,62,59,68,59,63,66,87,59,59,67,42,https://drop-assets.ea.com/images/5EKirX0RaDRkEm6Ye2TZPJ/36e510bb520335208b13ffd3c9ba1220/l34.png,FC Schalke 04,4
CDM|CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p277693.webp,,Andrei,277693,Mărginean,SUPERLIGA,https://drop-assets.ea.com/images/yJG6VRw2DHBpS1YBUe6XM/8251edf43104234bc25ece0a960006de/f_39.png,Romania,67,,,CB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/277693_en.webp,2,60,65,62,61,66,67,56,57,65,64,67,69,59,48,9,9,7,8,9,66,64,76,63,51,59,61,61,73,58,65,58,66,65,63,58,66,66,80,62,49,https://drop-assets.ea.com/images/72vt49KHWLN6ItNQcltprs/b55156b6acee218890db1ab7613ea04b/l100757.png,FC Dinamo 1948,2
RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p72315.webp,,Taylan,72315,Bulut,Trendyol Süper Lig,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,67,,,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/72315_en.webp,3,78,59,66,53,58,54,63,61,62,60,61,65,36,58,13,14,13,13,6,60,61,76,56,50,82,59,47,69,52,54,49,63,80,67,85,76,63,68,50,43,https://drop-assets.ea.com/images/Sx4dfrxgLrl3y1lm5Wj8p/fe2d92ed674ea49ea5ee3ac8d9842897/l327.png,Beşiktaş,3
CDM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p74232.webp,,Leonel,74232,Roldán,LPF,https://drop-assets.ea.com/images/4xMXjEt7CFJ6JENYeG45Sk/836d733dc1642c5e4ab3338d91481436/f_52.png,Argentina,67,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/74232_en.webp,2,65,67,73,74,71,59,57,55,62,61,69,68,54,45,13,6,9,13,5,56,63,63,67,57,68,64,41,64,63,59,55,70,59,61,70,72,66,59,66,47,https://drop-assets.ea.com/images/7npiMv3iWuBU6UGoPKMDzm/6856e8f10f2137a1f28d5a911b95c350/l101088.png,Vélez Sarsfield,3
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p74321.webp,,David,74321,Abagna,Liga Cyprus,https://drop-assets.ea.com/images/64fYElRtof03DcI6oxno1D/1a2b0686d9693e59b832c3d06a737109/f_117.png,Ghana,67,,,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/74321_en.webp,3,74,54,74,73,69,60,61,57,52,51,70,72,64,52,13,15,11,12,13,44,53,60,65,60,72,63,62,62,65,64,63,66,66,52,70,71,56,61,63,51,https://drop-assets.ea.com/images/np0Yz4fqwMGXDRLKcA7r6/56ed909c58ed620c2b6201b1554a0d3d/l100135.png,APOEL FC,3
CAM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p183339.webp,,Jo Inge,183339,Berget,Eliteserien,https://drop-assets.ea.com/images/kyD8KeqfkpF4AODggVj9z/999272a9ed21faa0d79c9ed626b89ec2/f_36.png,Norway,67,,,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/183339_en.webp,3,57,75,62,66,66,66,67,60,54,45,65,65,65,63,15,7,15,7,16,65,59,74,63,64,56,64,70,76,68,70,67,64,74,53,55,74,56,78,64,65,https://drop-assets.ea.com/images/40G8rPL5eEBBeswe9jZMph/1e584282e91aa80e9985fc1f34710148/l112199.png,Sarpsborg 08,3
RW|LM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p201967.webp,,Gustav Mendonça,201967,Wikheim,Eliteserien,https://drop-assets.ea.com/images/kyD8KeqfkpF4AODggVj9z/999272a9ed21faa0d79c9ed626b89ec2/f_36.png,Norway,67,https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,Inventive|Technical,LW,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/201967_en.webp,4,86,58,89,76,71,65,57,68,45,44,73,72,58,59,14,12,16,9,15,57,38,73,57,55,84,61,42,61,62,60,58,63,64,44,83,64,48,59,63,63,https://drop-assets.ea.com/images/7754YouKSxBVDtCU3t1KrQ/cf47a81deb3d45571ec77fdac4fb0da5/l922.png,Strømsgodset IF,3
CDM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p206551.webp,,Tommaso,206551,Arrigoni,Serie BKT,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,Italy,67,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/206551_en.webp,2,68,67,78,85,70,50,65,58,60,57,68,65,53,52,14,13,10,10,10,48,67,58,66,64,65,66,55,65,59,68,58,73,67,62,63,78,63,58,61,52,https://drop-assets.ea.com/images/2crKwDXMpJoZ6DZqDas0vs/e29e757956a2d80670d388a18e1bb687/l110915.png,Cesena,2
LB|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p214838.webp,,Óscar,214838,Opazo,Libertadores,https://drop-assets.ea.com/images/3oSt1AKWf8gJCT6jtMnZGJ/63a19100f7eb11e75ebaee5bbd04471c/f_55.png,Chile,67,,,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/214838_en.webp,3,72,72,77,80,63,59,67,64,60,55,65,64,54,46,14,11,9,9,7,57,61,69,64,50,74,63,51,66,65,56,54,68,59,70,75,67,62,62,53,46,https://drop-assets.ea.com/images/5yEnhrUveEFXMJgrKLLwzN/62537e09446eabca962bdb9509422f36/l110980.png,Colo-Colo,4
RW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p222081.webp,,Niklas,222081,Sandberg,Eliteserien,https://drop-assets.ea.com/images/kyD8KeqfkpF4AODggVj9z/999272a9ed21faa0d79c9ed626b89ec2/f_36.png,Norway,67,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png,Finesse Shot,RM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/222081_en.webp,3,71,62,69,71,65,66,67,65,51,47,65,64,63,61,13,12,6,15,7,61,50,71,65,63,70,66,70,66,65,65,64,66,64,52,70,75,53,63,66,60,https://drop-assets.ea.com/images/40G8rPL5eEBBeswe9jZMph/1e584282e91aa80e9985fc1f34710148/l112199.png,Sarpsborg 08,3
LB|LM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p223747.webp,,Stephen,223747,Kingsley,Scottish Prem,https://drop-assets.ea.com/images/3LfmKqyBykOGZyfdSpENTr/ec3733dfa9526c8f6da96bf0f8c7448e/f_42.png,Scotland,67,,,CB,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/223747_en.webp,2,54,67,67,71,69,67,66,72,66,66,67,65,51,74,11,6,8,14,12,66,62,70,67,62,56,67,45,72,60,67,54,69,58,64,57,75,68,73,62,37,https://drop-assets.ea.com/images/2mfFbaE9ByqIuH2By4SYxe/1356a36b8760e0fc252a07e4892efffd/l80.png,Hearts,2
CM|CB,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p227916.webp,,Deybi,227916,Flores,ROSHN Saudi League,https://drop-assets.ea.com/images/1Y8pDPdaEuy0bk8QyNxsgR/bf964ba736df6dc8b6cf0eae2b35d74c/f_81.png,Honduras,67,,,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227916_en.webp,2,77,76,56,68,60,60,55,50,65,66,60,60,37,57,13,7,8,15,10,50,65,73,62,54,77,59,58,74,49,62,47,63,60,66,77,72,70,74,58,46,https://drop-assets.ea.com/images/7gQaQZYCclbfWx6UJEcuQq/92e7f63ac0ab3744b2de07ea89905eb8/l115892.png,Al Najmah,2
LB,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p232271.webp,,Matteo,232271,Cotali,Serie BKT,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,Italy,67,https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png|https://drop-assets.ea.com/images/7mI1lrxE0pv9iJfQFki9OA/8c1ecac325f923e049be72231c8c968a/Slide_Tackle.png,Intercept|Slide Tackle,LM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/232271_en.webp,3,77,63,80,82,67,62,67,60,62,62,68,66,48,50,12,15,13,11,15,55,64,68,64,50,74,63,40,65,63,68,50,67,55,60,71,82,64,57,55,50,https://drop-assets.ea.com/images/56YCIUSXyO8KvMgbtPfqju/d9f733d17fe14950b7bc3121dd69c494/l1744.png,Modena,3
LB|CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p235754.webp,Borja Herrera,Borja,235754,Herrera González,ISL,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,Spain,67,,,CAM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/235754_en.webp,3,62,56,72,58,69,57,67,64,61,59,68,69,65,65,7,9,9,10,11,63,62,62,65,65,64,67,60,58,66,65,64,66,64,62,65,68,61,54,69,50,https://drop-assets.ea.com/images/cP7EFBSaV0CgGbS2Clkvv/82ca0d2b5de4bfcd5e5d372f90a1c84b/l113298.png,FC Goa,2
